|job|company|ssn|residence|current_location|blood_group|website|username|name|sex|address|mail|birthdate
0|전기공학 기술자 및 연구원|주식회사 박하김|340417-2709054|세종특별자치시 강남구 오금362길 (종수김마을)|(Decimal('61.5757685'), Decimal('87.722813'))|AB-|['http://gimi.org/', 'https://www.gimgim.kr/', 'https://www.yuhanhoesa.net/']|mijeong15|손영수|M|세종특별자치시 서초구 논현893거리 (정남진이마을)|zi@nate.com|2005-10-16
1|여행 사무원|김이박|820704-2383128|전라남도 부천시 원미구 석촌호수거리 (보람최황면)|(Decimal('-38.972291'), Decimal('-70.829214'))|A+|['http://jusighoesa.kr/', 'http://www.yuhanhoesa.com/', 'https://www.baggweon.kr/', 'https://www.ju.kr/']|gimjaeho|황상현|M|충청남도 서천군 삼성거리|ijihu@dreamwiz.com|1974-12-25
2|소방관|윤김김|080004-1264494|충청남도 청주시 청원구 역삼64로 (영희김김면)|(Decimal('54.338194'), Decimal('-76.488362'))|B+|['https://igimbag.kr/', 'https://yu.net/']|seoyeongcoe|구영희|F|충청남도 고성군 압구정로|minjun77@live.com|1970-12-21
3|국가/지방 및 공공행정 사무원|주식회사 강이나|030804-2160982|광주광역시 관악구 논현거리|(Decimal('-78.1461615'), Decimal('-58.613784'))|B+|['https://gimjang.com/', 'https://www.gimjo.kr/', 'https://www.coegimgang.net/', 'http://www.gimyun.com/']|yujini|이현숙|F|부산광역시 동작구 압구정198로 (성현김김면)|sju@nate.com|1956-10-04
4|주조원|유한회사 이|880726-2752760|부산광역시 동대문구 삼성길 (민준김면)|(Decimal('-18.520040'), Decimal('-148.908473'))|AB+|['https://www.ju.com/', 'http://www.bagi.kr/']|jeonghoca|윤성민|M|경상남도 안성시 삼성길|ijimin@hotmail.com|1992-10-17
5|광원/채석원 및 석재 절단원|주식회사 최|200422-2863944|세종특별자치시 송파구 강남대길 (성민강이마을)|(Decimal('-58.685238'), Decimal('80.264072'))|AB-|['http://gimhwangi.org/', 'http://www.yu.org/', 'http://jiha.kr/', 'https://www.yu.kr/']|minjaeyun|황영호|M|경상북도 용인시 수지구 봉은사가|gimeunjeong@nate.com|2011-05-23
6|기자 및 논설위원|유한회사 성민이|640618-1390728|경상남도 의정부시 석촌호수거리 (예은손면)|(Decimal('-84.2300755'), Decimal('43.363613'))|A+|['http://www.igoyang.net/', 'https://www.icoe.com/', 'http://www.seogim.org/']|gwangsui|지병철|M|충청북도 평창군 봉은사748가 (서윤백마을)|minji32@nate.com|1938-10-30
7|상점 판매원|(유) 전|770203-1539912|대전광역시 동구 서초중앙1로 (경자이이동)|(Decimal('-33.9550485'), Decimal('-118.647494'))|O+|['https://www.jusighoesa.kr/']|goyeonggil|김건우|M|대전광역시 강남구 양재천442로 (은지차이동)|jeonghun03@hotmail.com|1910-08-09
8|유리제조 및 가공기 조작원|백박김|730210-2716023|울산광역시 종로구 역삼길|(Decimal('81.0521315'), Decimal('-72.302615'))|AB-|['https://ju.com/', 'https://ju.com/']|ai|류경희|F|부산광역시 양천구 학동765길 (서영김이면)|yeonghomun@hanmail.net|2010-07-12
9|간호사|(주) 이박최|800323-2972485|부산광역시 서구 언주길|(Decimal('11.321834'), Decimal('-77.163727'))|B+|['https://baggimca.com/']|minjaejo|김혜진|F|부산광역시 서초구 도산대길|seoyeonbag@daum.net|1957-10-23
